videoId,title,chunk_idx,chunk_start,chunk_end,brand_surface,product_surface,product_score,shade_surface,context,source,Brand,Product Name,Product Type,Category Group,Shade Name,Hex/RGB Code,match_score
zY7FHOAjk_o,easy soft glam makeup,13,1400.07,1509.7,charlotte tilbury,pillow talk push up lashes mascara mascara,100,,"nd it looks really pretty when it's like fully blended out and I'm gonna take Charlotte Tilbury because we're just on a Charlotte Tilbury kick right now, I love her, the pillow talk to lip, this is the lipstick that she has and it's just very light, I'm jus",brand-led,Charlotte Tilbury,Pillow Talk Push Up Lashes Mascara,Mascara,Eyes,,,100
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,6,299.45,356.83,tarte,the buffer airbrush finish bamboo foundation brush brush,100,,"next item we're going to use, let's go to Foundation now. We all know about this fiasco. We all know about this fiasco. Tarte, don't love them. Tarte, don't love them. Don't hate them. Don't hate them. They've been a consistent brand that I've k",brand-led,Tarte,The Buffer Airbrush Finish Bamboo Foundation Brush,Brush,Tools,,,100
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,7,356.83,413.44,tarte,the buffer airbrush finish bamboo foundation brush brush,100,,"w, I will show the foundation range in a second. But the thing that made it worse was the news article of interviewing Tarte But the thing that made it worse was the news article of interviewing Tarte and them saying some very weird stuff like,",brand-led,Tarte,The Buffer Airbrush Finish Bamboo Foundation Brush,Brush,Tools,,,100
XOyXN9SgTl4,FULL FACE OF BRANDS THAT HATE ME,15,750.95,804.86,dior,backstage face brush foundation brush,100,,"empted. Oh, my God. Oh, my God. It looks like I got punched. It looks like I got punched. Remember when I reviewed that Dior stuff last week? Remember when I reviewed that Dior stuff last week? That was probably the worst my contour's ever look",brand-led,Dior,Backstage Face Brush,Foundation Brush,Tools,,,100
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,2,299.71,470.57,giorgio armani,luminous silk foundation foundation,100,575. It,", so I started with that. Now for the lower parts of my face, I'm gonna do a little bit of foundation. I'm gonna use my Giorgio Armani Luminous Silk in the shade 575. It's a little light, so I'm gonna do a pump of that. I'm also gonna do a pump of 625. I",brand-led,Giorgio Armani,Luminous Silk Foundation,Foundation,Skin,,,100
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,3,470.57,621.9,laura mercier,translucent loose setting powder setting powder,100,," gives it more dimension, so I don't look like the Moon Emoji. So I'm gonna try to set this glow, and I'm gonna take my Laura Mercier powder. I'm gonna get some product on there, and I like to rub it in the cap. I just found I just like doing that. And ",brand-led,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,,100
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,4,621.9,779.79,mac,217s blending brush eyeshadow brush,100,it is. I think it," this video, but I'm using iconic London. They're a brow definer and ash blonde. To be honest with you, I ran out of my Mac pencil and I just, I think I have it. I forgot what color it is. I think it's just brunette. Yeah, the Macs eyebrow pen",brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",2,113.26,182.88,smashbox,photo finish foundation primer primer,100,100,"new benefit foundation, there's new Becca face palette. there's new Becca face palette. There's so many new things from Smashbox, La Mer, There's so many new things from Smashbox, La Mer, of course, Glamglow. of course, Glamglow. And I'm like, girl",brand-led,Smashbox,Photo Finish Foundation Primer,Primer,Skin,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",12,713.62,764.74,tarte,shape tape concealer concealer,100,,"isn't brand new, but they repackage the entire thing, but they repackage the entire thing, the Chrysalis Concealer from Tarte. the Chrysalis Concealer from Tarte. I'm a little scared. I'm a little scared. Now that I see this foundation, Now that",brand-led,Tarte,Shape Tape Concealer,Concealer,Skin,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",17,1140.37,1245.54,mac,217s blending brush eyeshadow brush,100,love is the drug. Kesha,"eek to cheek swish and pop blusher in shade love is the drug. Kesha, start suing. I'm just kidding. Let's take a little Mac brush. Let's swirl it around. Oh wow, maybe I was not supposed to swirl that hard. All right, so these retail for $40. ",brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",18,1245.54,1348.74,urban decay,naked3 eyeshadow palette eyeshadow,100,15.,"one? $15.99, girl. That ain't too bad. Okay, there we go. Okay, for eyes today, we are going to use the, bam, brand new Urban Decay Born to Run eyeshadow palette. I know this is about to hit, or maybe it's already out when this video goes live. Oh, I ",brand-led,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",18,1245.54,1348.74,mac,pro longwear paint pot cream eyeshadow,100,we," just dive into this palette and see if we like the formula. All right, I always prime my lids with the same thing, the MAC Painterly Paint Pot. So we, of course, are going to do that. I do this for every review to give it a fair shot. So we'r",brand-led,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",19,1348.74,1446.02,mac,217s blending brush eyeshadow brush,100,is laid down," in my inner corner and my fingers will not let me do that. So I'm going to go in with this little synthetic brush from MAC and let's just pack that right in there. Oh wow, yeah, you don't even need to wet this. This is literally a dry brush. ",brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",20,1446.02,1554.35,mac,217s blending brush eyeshadow brush,100,Punk. It is a gorgeous chocola,ing to dive into Shade Punk. It is a gorgeous chocolate brown and I'm just going to saturate my brush. This is a little Mac 221 brush and we're just going to take this and put it right here and just deepen the crease a little bit. The eye is l,brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",21,1554.35,1668.8,dior,diorshow iconic overcurl mascara mascara,100,12,"k. All right, guys, I think it's time for some mascara. There are so many new mascaras. Like there's this pink one from Dior. We can't do pink mascara with this look. Oh, okay, here's a new one. Superfanned out 12-hour volume length and lift. T",brand-led,Dior,Diorshow Iconic Overcurl Mascara,Mascara,Eyes,,,100
YgYHF4hCtKk,"FULL FACE USING $3,500 OF NEW MAKEUP AT SEPHORA",24,1915.58,2030.83,urban decay,naked3 eyeshadow palette eyeshadow,100,,"formula is pretty, but overall, not into it. Now, of course, as we said, this was stunning. Love the eyeshadow palette. Urban Decay knocked it out of the park with that one. No. Yes. Beautiful packaging. Formula was not that bad, but girl, we dipped i",brand-led,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,100
aZgsVALlCrk,ONE DIP MAKEUP CHALLENGE!,1,144.24,267.63,fenty beauty,pro filt’r soft matte foundation foundation,100,,ed to use the Hura Beauty Pro Filter. F***ing me. Did you hear what I just said? The Pro Filter Hydrating Foundation by Fenty Beauty. Oh no. It's following me no matter what I do. It's mad at me because I'm not going to use it today. But the only reaso,brand-led,Fenty Beauty,Pro Filt’r Soft Matte Foundation,Foundation,Skin,,,100
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,12,1384.64,1534.07,smashbox,photo finish foundation primer primer,100,,rneath your eyeballs because nobody likes creasing. Oh man I wanted to use this product today. I just saw it. It's that smashbox photo finish hydrating under eye primer,brand-led,Smashbox,Photo Finish Foundation Primer,Primer,Skin,,,100
Ee4Gi47erJ8,Full Face Talk Thru Makeup Tutorial,13,1534.47,1663.27,smashbox,photo finish foundation primer primer,100,,"rneath your eyeballs because nobody likes creasing. Oh man I wanted to use this product today. I just saw it. It's that smashbox photo finish hydrating under eye primer When I brought it out and everything to use and then I forgot Okay, so next we'",brand-led,Smashbox,Photo Finish Foundation Primer,Primer,Skin,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,1,137.46,263.28,morphe,m439 deluxe buffer brush brush,100,M536,"row stage. You can literally ever imagine and Little scary if you ask me, okay Liking it then I'm gonna go in with this morphe brush. This is in M536 I'm not a picky girl when it comes to setting my eyelids with powders Like I literally pick what",brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,2,263.96,403.53,morphe,m439 deluxe buffer brush brush,100,is the dark brown in the palet,e a bit more because say I was going out to dinner I definitely want a little bit of a darker eye and this brush is The morphe MM for one brush love these like I have a thousand of these like Not even kidding. I can keep pulling off. I need to bu,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,2,263.96,403.53,mac,studio fix fluid spf 15 foundation foundation,100,porcelain," going out foundation, which you know Makes me look like a porcelain doll from what people have said to me. This is the Mac prime I use this for the first time today. So like Don't judge my makeup that hard, but I'm still giving you guys my fu",brand-led,MAC,Studio Fix Fluid SPF 15 Foundation,Foundation,Skin,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,3,403.53,532.66,mac,studio fix fluid spf 15 foundation foundation,100,s I,ndation at the moment It would either be either the makeup forever HD or Which I'm going to be using today is my trusty Mac long wear Waterproof foundation so girls we can go swimming. So I'll mix the these two shades I'm not sure if these are,brand-led,MAC,Studio Fix Fluid SPF 15 Foundation,Foundation,Skin,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,3,403.53,532.66,morphe,m439 deluxe buffer brush brush,100,So I,rush. This is a nice brush I'm not gonna do that. So I will just mix these together really quick Then I go in with this morphe brush in that it's the M 707 3 by 4 I like to go On one side of my face first any wonder Pat it in Look at that Then I ,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,8,1054.42,1210.6,morphe,m439 deluxe buffer brush brush,100,v106,"o that is nude truffle Then this is oak Then this little guy We'll add some pink Chill out. I'm not sure if this is the morphe brush. Yeah, it's morphe in v106 My all-time bronzer right now is this two-faced chocolate Soleil I think Long wear mat",brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,9,1210.68,1342.76,morphe,m439 deluxe buffer brush brush,100,m441, I'm going to wipe the excess of that under eye And wipe off the kimchi with it. So now I am going to get this brush by morphe once again m441 and to get my two-faced chocolate bronzer And just go over the lines I made for my nose contour. I will,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,9,1210.68,1342.76,mac,217s blending brush eyeshadow brush,100,217s,t I like don't know what to do with myself. So the next brush I'll be using for under my eyes is To smoke it out is the mac 217s And I'm going to go back in with that kin kin. Is that what it's called win win? Sorry and smoke the under eyes ou,brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,10,1343.72,1480.86,morphe,m439 deluxe buffer brush brush,100,cheers starling And for a high, at these little brushes that my brother put face paint on for halloween I'm going to have to get him back for this the morphe m456 brush and I know you guys are going to call me crazy. Um put a little bit of your Mac fix plus whatever setting sp,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,10,1343.72,1480.86,mac,217s blending brush eyeshadow brush,100,m456,get him back for this the morphe m456 brush and I know you guys are going to call me crazy. Um put a little bit of your Mac fix plus whatever setting spray you use put it in the highlighter to make sure you get a good amount and put it right i,brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
RfqMkTsUhAY,Full Face Using Only E.L.F. Makeup... I'm Speechless!,0,0.0,126.32,morphe,m439 deluxe buffer brush brush,100,,y's video we're going on a little adventure to the Alta in Calabasas because today we are celebrating the launch of the Morphe X Jeffree Star Brush and Sponge Collaboration. It is now in every single Alta here in America and of course on Alta's w,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
RfqMkTsUhAY,Full Face Using Only E.L.F. Makeup... I'm Speechless!,3,378.08,496.03,morphe,m439 deluxe buffer brush foundation brush,100,,flashback Jeffree Lynn today. So let's give this a little shake and of course we're gonna apply our foundation with the Morphe Jeffree Star Beauty sponge right here. If you guys have not tried these out girl what are you waiting for? Alright you ,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
RfqMkTsUhAY,Full Face Using Only E.L.F. Makeup... I'm Speechless!,8,969.39,1068.91,mac,217s blending brush eyeshadow brush,100,names,"as got the kit yet? Let me know. All right is there shade names? No there's not. Great. Now I always prime my lids with MAC Painterly Paint Pot. I put a lot of concealer down so I'm not really feeling like I need to. But a lot of you may go, J",brand-led,MAC,217S Blending Brush,Eyeshadow Brush,Tools,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,3,413.61,553.21,,ultimate blending brush,100,,"put it all over my face. I usually blend this out with a beauty blender, but I've been using brushes lately. I haven't used brushes to blend out my foundation in years. So I kind of just been getting back into that habit",direct-product,e.l.f.,Ultimate Blending Brush,Brush,Tools,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,3,413.61,553.21,too faced,born this way super coverage concealer concealer,100,,"n it, I have to use because other than that, I'm gonna be crack-lacking, okay? So for concealer, I'm gonna be using the Too Faced Born This Way. This is exactly what I used on my brows",brand-led,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,4,553.21,685.34,too faced,born this way super coverage concealer concealer,100,,"n it, I have to use because other than that, I'm gonna be crack-lacking, okay? So for concealer, I'm gonna be using the Too Faced Born This Way. This is exactly what I used on my brows and I have went through so many concealers lately and nothing co",brand-led,Too Faced,Born This Way Super Coverage Concealer,Concealer,Skin,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,6,847.97,987.22,laura mercier,finishing brush powder brush,100,,"ones. And I like that look, but I don't have to get face fillers for that. So now I'm gonna take this brush. This is by Laura Mercier. This is like one of my favorite powder brushes. Like I probably will never go to another powder brush. This is the onl",brand-led,Laura Mercier,Finishing Brush,Powder Brush,Tools,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,8,1119.42,1257.93,NARS,climax mascara,100,," do my eyeliner. I really can't talk and do this on camera. I barely do it on camera, but let's do it. So this is the eyeliner. I love my eyeliner. Y'all know I am the eyeliner queen, okay? So the mascara I've been using",direct-product,NARS,Climax Mascara,Mascara,Eyes,,,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,9,1257.93,1404.96,mac,matte lipstick lipstick,100,Influentially It and I," my lips. And I have so many options for lip gloss. Like I don't even know which color I wanna do. So I could either do MAC See-through which is a super, super new lip gloss and I can also use one of my favorites which is Marc Jacobs and this ",brand-led,MAC,Matte Lipstick,Lipstick,Lips,Ruby Woo,#9B1B30,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,7,363.03,412.67,morphe,m439 deluxe buffer brush brush,83,M433, us to do that. I don't know why so yeah I'm gonna go in with my morphe brush in the M433 brush I'm gonna go in with my morphe brush in the M433 brush I don't just a random little brush whatever it is fine and my fit me press powder in the shade ,brand-led,Morphe,M439 Deluxe Buffer Brush,Brush,Tools,,,100
5DUv3u2UzII,My Full Glam Makeup Routine | Alabama Barker,5,663.82,789.51,mac,pro longwear paint pot cream eyeshadow,83,heart in heat index and for th, get what I mean You always want it to be like this on the bridge of your nose not the outsides of your nose Next is my mac Blush and this is a cream blush and this is in the shade heart in heat index and for this I would go in with a brush Ki,brand-led,MAC,Pro Longwear Paint Pot,Cream Eyeshadow,Eyes,,,100
AZzkJL2b724,Birthday Makeup Tutorial - EASY GLAM,4,550.45,691.05,nars,soft matte complete concealer concealer,81,,"ightening Corrector. I like using this under my concealer and I always go with a very thin layer. And for my concealer, Nars Radiant Creamy Concealer. One of my favorite concealers. I want most of the concealer to be in this area because that's",brand-led,NARS,Soft Matte Complete Concealer,Concealer,Skin,,,100
5nQ_a77HMdk,EVERYDAY EASY GLAM MAKEUP TUTORIAL,6,310.84,361.52,urban decay,naked3 eyeshadow palette eyeshadow,81,,", but whatever So I shouldn't really be putting brown powder on either, but whatever So I'm just gonna be using the the Urban Decay eyeshadow and faint my Anastasia double-sided little has like the little spoolie So I'm just gonna be using the the Urb",brand-led,Urban Decay,Naked3 Eyeshadow Palette,Eyeshadow,Eyes,,,100
JPUbSvsxjsY,‘Clean Girl’ Makeup Tutorial & Hydrated Skincare Routine,7,1077.92,1237.72,mac,matte lipstick lipstick,80,Supreme. So this is actually d,"tle here. Okay. So four lips. Damn. I need lips. I hate how I have to wait until the end for lips. I'm going to take my Mac lipstick and mull it over and I'm just going to tap it just a little bit. I want like a lot of color, but I just want a",brand-led,MAC,Matte Lipstick,Lipstick,Lips,Ruby Woo,#9B1B30,100
q9Y3SyAS3jk,MY VERY DETAILED GO-TO EVERYDAY MAKEUP ROUTINE | SOFT GLAM | AALIYAH JAY,5,685.34,847.97,laura mercier,translucent loose setting powder setting powder,78,back to my face,". So now I'm gonna take this Elf sponge and I am going to go into my setting powder. The setting powder I'm using is by Laura Mercier and this is in the color Translucent Honey. I actually did a whole video on this and I just talked about, you know, how",brand-led,Laura Mercier,Translucent Loose Setting Powder,Setting Powder,Skin,,,100
